player_name,prop_type,line_value,suggestion,win_rate_3,ev_3,proj_3,win_rate_5,ev_5,proj_5,win_rate_10,ev_10,proj_10,win_rate_14,ev_14,proj_14,win_rate_28,ev_28,proj_28
Kyshawn George,FG3M,1.5,OVER,33.4,-12.5,0.67,40.7,-5.1,1.22,29.6,-16.3,0.9,49.6,3.7,1.35,42.7,-3.2,1.25
Nickeil Alexander-Walker,FG3M,2.5,OVER,65.1,-0.3,3.0,59.2,-6.2,2.81,57.3,-8.1,2.5,56.3,-9.1,2.79,62.7,-2.6,3.26
Dyson Daniels,AST,5.5,OVER,32.8,-14.8,4.31,20.1,-27.5,3.42,38.8,-8.8,4.5,49.2,1.6,5.36,57.7,10.1,6.06
Nickeil Alexander-Walker,AST,4.5,OVER,38.6,-5.6,4.35,41.6,-2.6,4.4,56.6,12.4,5.0,41.2,-3.0,4.51,38.1,-6.2,4.21
C.J. McCollum,AST,3.5,OVER,61.7,12.2,3.32,57.1,7.6,4.0,30.0,-19.5,3.18,36.7,-12.8,3.44,44.5,-5.0,3.32
Will Riley,AST,2.5,OVER,33.6,-14.0,1.97,21.4,-26.2,1.61,40.4,-7.2,2.68,29.6,-18.0,2.23,23.0,-24.6,1.74
Bilal Coulibaly,AST,1.5,OVER,99.7,35.2,3.02,80.5,16.0,2.42,79.6,15.0,2.29,63.1,-1.4,2.11,56.5,-8.0,1.88
Jalen Johnson,PTS,23.5,OVER,59.3,7.5,24.67,35.4,-16.4,18.44,49.6,-2.2,20.71,46.7,-5.1,21.31,40.8,-11.0,20.49
Kyshawn George,PTS,11.5,OVER,28.1,-21.4,6.4,53.2,3.7,9.79,36.2,-13.3,8.57,49.3,-0.2,11.27,46.1,-3.4,10.26
Will Riley,PTS,10.5,OVER,49.9,-5.6,9.69,31.8,-23.8,8.44,65.7,10.2,13.82,53.0,-2.5,11.99,31.6,-23.9,8.69
Bilal Coulibaly,PTS,9.5,OVER,98.8,43.5,14.0,79.8,24.6,12.43,58.7,3.4,9.73,41.9,-13.3,7.94,48.5,-6.7,8.7
Jock Landale,PTS,9.5,OVER,55.1,3.3,10.06,58.6,6.8,10.24,49.1,-2.7,10.57,53.2,1.4,10.77,55.2,3.3,10.45
Jalen Johnson,PR,34.5,OVER,65.6,11.0,37.37,44.5,-10.1,28.72,57.7,3.0,30.57,56.9,2.3,32.15,44.1,-10.6,30.45
C.J. McCollum,PR,22.5,OVER,59.0,6.1,23.33,66.4,13.4,26.39,56.6,3.7,23.24,53.0,0.1,22.81,44.4,-8.6,20.75
Onyeka Okongwu,PR,22.5,OVER,51.2,-0.4,22.4,36.1,-15.4,21.37,23.0,-28.6,13.16,36.8,-14.8,16.41,46.4,-5.2,20.23
Jock Landale,PR,14.5,OVER,62.9,7.6,16.26,58.6,3.4,15.87,55.0,-0.2,16.55,54.8,-0.4,17.06,57.1,1.8,16.91
Kyshawn George,PR,14.5,OVER,19.7,-35.2,7.95,43.9,-11.1,12.29,31.7,-23.2,10.8,49.9,-5.1,15.02,47.7,-7.3,13.65
Will Riley,PR,14.5,OVER,35.8,-19.2,12.03,21.3,-33.7,10.88,56.5,1.6,17.17,46.6,-8.4,15.05,28.0,-27.0,11.4
Bilal Coulibaly,PR,13.5,OVER,94.2,41.0,17.0,65.6,12.4,15.08,49.8,-3.4,12.03,43.7,-9.5,10.72,50.3,-2.9,12.01
C.J. McCollum,PRA,25.5,OVER,59.6,4.6,26.65,74.7,19.7,30.45,59.8,4.9,26.55,52.8,-2.1,26.33,47.5,-7.4,24.32
Dyson Daniels,PRA,23.5,OVER,40.9,-10.9,20.99,42.9,-8.9,18.12,28.5,-23.3,18.06,35.9,-15.9,20.43,48.1,-3.7,22.65
Will Riley,PRA,17.5,OVER,33.6,-18.0,13.95,20.4,-31.2,12.37,58.0,6.4,19.79,44.9,-6.6,17.26,24.0,-27.6,12.98
Bilal Coulibaly,PRA,15.5,OVER,97.2,43.1,19.98,66.2,12.1,17.39,52.2,-1.8,14.37,47.6,-6.4,12.76,54.5,0.5,14.06
